INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
InterCoast Colleges-Fairfield,Fairfield,CA,94534,-2,1,-122.124609,38.230786
Milan Institute-Merced,Merced,CA,95340-2626,-2,1,-120.481067,37.322518
UEI College-Bakersfield,Bakersfield,CA,93308-0000,-2,2,-119.049925,35.381617
DeVry University-California,Ontario,CA,91764,2,2,-117.5876,34.068481
American College of Healthcare and Technology,Huntington Park,CA,90255,-2,1,-118.224752,33.98271
Learnet Academy Inc,Los Angeles,CA,90020,1,1,-118.293165,34.063934
The Fab School,Rancho Cucamonga,CA,91730,-2,1,-117.555168,34.079866
Integrity College of Health,Pasadena,CA,91104,1,1,-118.131722,34.171252
Bay Area Medical Academy,San Francisco,CA,94108-3623,-2,1,-122.406318,37.790775
Lawrence & Company College of Cosmetology,Selma,CA,93662-3509,-2,1,-119.611752,36.570318
